,Survived,Pclass,Age,SibSp,Parch,Fare,Embarked_C,Embarked_Q,Embarked_S,Sex_female,Sex_male
0,0,1.0,0.275,0.125,0.0,0.014151057562208049,False,False,True,False,True
1,1,0.3333333333333333,0.475,0.125,0.0,0.13913573538264068,True,False,False,True,False
2,1,1.0,0.325,0.0,0.0,0.015468569817999833,False,False,True,True,False
3,1,0.3333333333333333,0.4375,0.125,0.0,0.10364429745562033,False,False,True,True,False
4,0,1.0,0.4375,0.0,0.0,0.015712553569072387,False,False,True,False,True
5,0,1.0,0.37123897058823524,0.0,0.0,0.01650950209357577,False,True,False,False,True
6,0,0.3333333333333333,0.675,0.0,0.0,0.10122885832000206,False,False,True,False,True
7,0,1.0,0.025,0.375,0.16666666666666666,0.04113566043083236,False,False,True,False,True
8,1,1.0,0.3375,0.0,0.3333333333333333,0.021730754366528396,False,False,True,True,False
9,1,0.6666666666666666,0.175,0.125,0.0,0.058694292654020104,True,False,False,True,False
10,1,1.0,0.05,0.125,0.16666666666666666,0.03259622914329302,False,False,True,True,False
11,1,0.3333333333333333,0.725,0.0,0.0,0.051822148727810165,False,False,True,True,False
12,0,1.0,0.25,0.0,0.0,0.015712553569072387,False,False,True,False,True
13,0,1.0,0.4875,0.125,0.8333333333333334,0.06104473451835265,False,False,True,False,True
14,0,1.0,0.175,0.0,0.0,0.015330377421392339,False,False,True,True,False
15,1,0.6666666666666666,0.6875,0.0,0.0,0.03122992013728673,False,False,True,True,False
16,0,1.0,0.025,0.5,0.16666666666666666,0.056848213999904744,False,True,False,False,True
17,1,0.6666666666666666,0.37123897058823524,0.0,0.0,0.025374310111545468,False,False,True,False,True
18,0,1.0,0.3875,0.125,0.0,0.03513366015444757,False,False,True,True,False
19,1,1.0,0.37123897058823524,0.0,0.0,0.014102260811993537,True,False,False,True,False
20,0,0.6666666666666666,0.4375,0.0,0.0,0.050748620223090936,False,False,True,False,True
21,1,0.6666666666666666,0.425,0.0,0.0,0.025374310111545468,False,False,True,False,True
22,1,1.0,0.1875,0.0,0.0,0.015671954672893913,False,True,False,True,False
23,1,0.3333333333333333,0.35,0.0,0.0,0.06929138530460492,False,False,True,False,True
24,0,1.0,0.1,0.375,0.16666666666666666,0.04113566043083236,False,False,True,True,False
25,1,1.0,0.475,0.125,0.8333333333333334,0.061264319894317944,False,False,True,True,False
26,0,1.0,0.37123897058823524,0.0,0.0,0.014102260811993537,True,False,False,False,True
27,0,0.3333333333333333,0.2375,0.375,0.3333333333333333,0.5133418122566505,False,False,True,False,True
28,1,1.0,0.37123897058823524,0.0,0.0,0.01537917417160685,False,True,False,True,False
29,0,1.0,0.37123897058823524,0.0,0.0,0.015411575213749284,False,False,True,False,True
30,0,0.3333333333333333,0.5,0.0,0.0,0.05410739813385612,True,False,False,False,True
31,1,0.3333333333333333,0.37123897058823524,0.125,0.0,0.2859895551532101,True,False,False,True,False
32,1,1.0,0.37123897058823524,0.0,0.0,0.015126992566498259,False,True,False,True,False
33,0,0.6666666666666666,0.825,0.0,0.0,0.020494635090094415,False,False,True,False,True
34,0,0.3333333333333333,0.35,0.125,0.0,0.16038672010106,True,False,False,False,True
35,0,0.3333333333333333,0.525,0.125,0.0,0.10149724044618187,False,False,True,False,True
36,1,1.0,0.37123897058823524,0.0,0.0,0.014110458666029575,True,False,False,False,True
37,0,1.0,0.2625,0.0,0.0,0.015712553569072387,False,False,True,False,True
38,0,1.0,0.225,0.25,0.0,0.03513366015444757,False,False,True,True,False
39,1,1.0,0.175,0.125,0.0,0.021942337075458514,True,False,False,True,False
40,0,1.0,0.5,0.125,0.0,0.018493968331299484,False,False,True,True,False
41,0,0.6666666666666666,0.3375,0.125,0.0,0.04098927018018883,False,False,True,True,False
42,0,1.0,0.37123897058823524,0.0,0.0,0.015411575213749284,True,False,False,False,True
43,1,0.6666666666666666,0.0375,0.125,0.3333333333333333,0.08115719346076702,True,False,False,True,False
44,1,1.0,0.2375,0.0,0.0,0.01537917417160685,False,True,False,True,False
45,0,1.0,0.37123897058823524,0.0,0.0,0.015712553569072387,False,False,True,False,True
46,0,1.0,0.37123897058823524,0.125,0.0,0.030253985132996517,False,True,False,False,True
47,1,1.0,0.37123897058823524,0.0,0.0,0.015126992566498259,False,True,False,True,False
48,0,1.0,0.37123897058823524,0.25,0.0,0.04231498029001666,True,False,False,False,True
49,0,1.0,0.225,0.125,0.0,0.034743286152731485,False,False,True,True,False
50,0,1.0,0.0875,0.5,0.16666666666666666,0.07746484096553544,False,False,True,False,True
51,0,1.0,0.2625,0.0,0.0,0.01522458606692728,False,False,True,False,True
52,1,0.3333333333333333,0.6125,0.125,0.0,0.1497654242623688,True,False,False,True,False
53,1,0.6666666666666666,0.3625,0.125,0.0,0.050748620223090936,False,False,True,True,False
54,0,0.3333333333333333,0.8125,0.0,0.16666666666666666,0.1209753416358076,True,False,False,False,True
55,1,0.3333333333333333,0.37123897058823524,0.0,0.0,0.06929138530460492,False,False,True,False,True
56,1,0.6666666666666666,0.2625,0.0,0.0,0.020494635090094415,False,False,True,True,False
57,0,1.0,0.35625,0.0,0.0,0.014110458666029575,True,False,False,False,True
58,1,0.6666666666666666,0.0625,0.125,0.3333333333333333,0.05416439273810667,False,False,True,True,False
59,0,1.0,0.1375,0.625,0.3333333333333333,0.09154270340242172,False,False,True,False,True
60,0,1.0,0.275,0.0,0.0,0.014110458666029575,True,False,False,False,True
61,1,0.3333333333333333,0.475,0.0,0.0,0.15614960068643363,False,False,True,True,False
62,0,0.3333333333333333,0.5625,0.125,0.0,0.16293234896625058,False,False,True,False,True
63,0,1.0,0.05,0.375,0.3333333333333333,0.05445717323939373,False,False,True,False,True
64,0,0.3333333333333333,0.37123897058823524,0.0,0.0,0.05410739813385612,True,False,False,False,True
65,1,1.0,0.37123897058823524,0.125,0.16666666666666666,0.029757819776815374,True,False,False,False,True
66,1,0.6666666666666666,0.3625,0.0,0.0,0.020494635090094415,False,False,True,True,False
67,0,1.0,0.2375,0.0,0.0,0.015923941091001644,False,False,True,False,True
68,1,1.0,0.2125,0.5,0.3333333333333333,0.015468569817999833,False,False,True,True,False
69,0,1.0,0.325,0.25,0.0,0.016908073949327893,False,False,True,False,True
70,0,0.6666666666666666,0.4,0.0,0.0,0.020494635090094415,False,False,True,False,True
71,0,1.0,0.2,0.625,0.3333333333333333,0.09154270340242172,False,False,True,True,False
72,0,0.6666666666666666,0.2625,0.0,0.0,0.1434624456306609,False,False,True,False,True
73,0,1.0,0.325,0.125,0.0,0.028212719478023115,True,False,False,False,True
74,1,1.0,0.4,0.0,0.0,0.11027245763075773,False,False,True,False,True
75,0,1.0,0.3125,0.0,0.0,0.014931805565640218,False,False,True,False,True
76,0,1.0,0.37123897058823524,0.0,0.0,0.015411575213749284,False,False,True,False,True
77,0,1.0,0.37123897058823524,0.0,0.0,0.015712553569072387,False,False,True,False,True
78,1,0.6666666666666666,0.010374999999999999,0.0,0.3333333333333333,0.056604230248832196,False,False,True,False,True
79,1,1.0,0.375,0.0,0.0,0.024349578357040744,False,False,True,True,False
80,0,1.0,0.275,0.0,0.0,0.017566830077223785,False,False,True,False,True
81,1,1.0,0.3625,0.0,0.0,0.018542765081513996,False,False,True,False,True
82,1,1.0,0.37123897058823524,0.0,0.0,0.015200187691820024,False,True,False,True,False
83,0,0.3333333333333333,0.35,0.0,0.0,0.09193307740413781,False,False,True,False,True
84,1,0.6666666666666666,0.2125,0.0,0.0,0.020494635090094415,False,False,True,True,False
85,1,1.0,0.4125,0.375,0.0,0.030937139635999665,False,False,True,True,False
86,0,1.0,0.2,0.125,0.5,0.06709553154495196,False,False,True,False,True
87,0,1.0,0.37123897058823524,0.0,0.0,0.015712553569072387,False,False,True,False,True
88,1,0.3333333333333333,0.2875,0.375,0.3333333333333333,0.5133418122566505,False,False,True,True,False
89,0,1.0,0.3,0.0,0.0,0.015712553569072387,False,False,True,False,True
90,0,1.0,0.3625,0.0,0.0,0.015712553569072387,False,False,True,False,True
91,0,1.0,0.25,0.0,0.0,0.015330377421392339,False,False,True,False,True
92,0,0.3333333333333333,0.575,0.125,0.0,0.11940564777490723,False,False,True,False,True
93,0,1.0,0.325,0.125,0.3333333333333333,0.04015972542654215,False,False,True,False,True
94,0,1.0,0.7375,0.0,0.0,0.014151057562208049,False,False,True,False,True
95,0,1.0,0.37123897058823524,0.0,0.0,0.015712553569072387,False,False,True,False,True
96,0,0.3333333333333333,0.8875,0.0,0.0,0.06764049365134761,True,False,False,False,True
97,1,0.3333333333333333,0.2875,0.0,0.16666666666666666,0.12366716556464086,True,False,False,False,True
98,1,0.6666666666666666,0.425,0.0,0.16666666666666666,0.04489301019734967,False,False,True,True,False
99,0,0.6666666666666666,0.425,0.125,0.0,0.050748620223090936,False,False,True,False,True
100,0,1.0,0.35,0.0,0.0,0.015411575213749284,False,False,True,True,False
101,0,1.0,0.37123897058823524,0.0,0.0,0.015411575213749284,False,False,True,False,True
102,0,0.3333333333333333,0.2625,0.0,0.16666666666666666,0.15085515328815924,False,False,True,False,True
103,0,1.0,0.4125,0.0,0.0,0.016891873428256675,False,False,True,False,True
104,0,1.0,0.4625,0.25,0.0,0.015468569817999833,False,False,True,False,True
105,0,1.0,0.35,0.0,0.0,0.015411575213749284,False,False,True,False,True
106,1,1.0,0.2625,0.0,0.0,0.014931805565640218,False,False,True,True,False
107,1,1.0,0.37123897058823524,0.0,0.0,0.015175789316712771,False,False,True,False,True
108,0,1.0,0.475,0.0,0.0,0.015411575213749284,False,False,True,False,True
109,1,1.0,0.37123897058823524,0.125,0.0,0.04713766070721715,False,True,False,True,False
110,0,0.3333333333333333,0.5875,0.0,0.0,0.10149724044618187,False,False,True,False,True
111,0,1.0,0.18125,0.125,0.0,0.028212719478023115,True,False,False,True,False
112,0,1.0,0.275,0.0,0.0,0.015712553569072387,False,False,True,False,True
113,0,1.0,0.25,0.125,0.0,0.019177122834302632,False,False,True,True,False
114,0,1.0,0.2125,0.0,0.0,0.028220722145058292,True,False,False,True,False
115,0,1.0,0.2625,0.0,0.0,0.015468569817999833,False,False,True,False,True
116,0,1.0,0.88125,0.0,0.0,0.015126992566498259,False,True,False,False,True
117,0,0.6666666666666666,0.3625,0.125,0.0,0.04098927018018883,False,False,True,False,True
118,0,0.3333333333333333,0.3,0.0,0.16666666666666666,0.4831284260198326,True,False,False,False,True
119,0,1.0,0.025,0.5,0.3333333333333333,0.06104473451835265,False,False,True,True,False
120,0,0.6666666666666666,0.2625,0.25,0.0,0.1434624456306609,False,False,True,False,True
121,0,1.0,0.37123897058823524,0.0,0.0,0.015712553569072387,False,False,True,False,True
122,0,0.6666666666666666,0.40625,0.125,0.0,0.058694292654020104,True,False,False,False,True
123,1,0.6666666666666666,0.40625,0.0,0.0,0.025374310111545468,False,False,True,True,False
124,0,0.3333333333333333,0.675,0.0,0.16666666666666666,0.15085515328815924,False,False,True,False,True
125,1,1.0,0.15,0.125,0.0,0.021942337075458514,True,False,False,False,True
126,0,1.0,0.37123897058823524,0.0,0.0,0.015126992566498259,False,True,False,False,True
127,1,1.0,0.3,0.0,0.0,0.01393967004027879,False,False,True,False,True
128,1,1.0,0.37123897058823524,0.125,0.16666666666666666,0.04364049521284361,True,False,False,True,False
129,0,1.0,0.5625,0.0,0.0,0.013614293309848433,False,False,True,False,True
130,0,1.0,0.4125,0.0,0.0,0.015411575213749284,True,False,False,False,True
131,0,1.0,0.25,0.0,0.0,0.013760683560491965,False,False,True,False,True
132,0,1.0,0.5875,0.125,0.0,0.028302115124416098,False,False,True,True,False
133,1,0.6666666666666666,0.3625,0.125,0.0,0.050748620223090936,False,False,True,True,False
134,0,0.6666666666666666,0.3125,0.0,0.0,0.025374310111545468,False,False,True,False,True
135,0,0.6666666666666666,0.2875,0.0,0.0,0.02936744577509929,True,False,False,False,True
136,1,0.3333333333333333,0.2375,0.0,0.3333333333333333,0.051301584996521765,False,False,True,True,False
137,0,0.3333333333333333,0.4625,0.125,0.0,0.10364429745562033,False,False,True,False,True
138,0,1.0,0.2,0.0,0.0,0.01798980030808316,False,False,True,False,True
139,0,0.3333333333333333,0.3,0.0,0.0,0.15458810467956932,True,False,False,False,True
140,0,1.0,0.37123897058823524,0.0,0.3333333333333333,0.029757819776815374,True,False,False,True,False
141,1,1.0,0.275,0.0,0.0,0.015126992566498259,False,False,True,True,False
142,1,1.0,0.3,0.125,0.0,0.030937139635999665,False,False,True,True,False
143,0,1.0,0.2375,0.0,0.0,0.013175122557917838,False,True,False,False,True
144,0,0.6666666666666666,0.225,0.0,0.0,0.022446505098674834,False,False,True,False,True
145,0,0.6666666666666666,0.2375,0.125,0.16666666666666666,0.07173122281533045,False,False,True,False,True
146,1,1.0,0.3375,0.0,0.0,0.015216388212891242,False,False,True,False,True
147,0,1.0,0.1125,0.25,0.3333333333333333,0.06709553154495196,False,False,True,True,False
148,0,0.6666666666666666,0.45625,0.0,0.3333333333333333,0.050748620223090936,False,False,True,False,True
149,0,0.6666666666666666,0.525,0.0,0.0,0.025374310111545468,False,False,True,False,True
150,0,0.6666666666666666,0.6375,0.0,0.0,0.02444717185746977,False,False,True,False,True
151,1,0.3333333333333333,0.275,0.125,0.0,0.12999454257145598,False,False,True,True,False
152,0,1.0,0.69375,0.0,0.0,0.015712553569072387,False,False,True,False,True
153,0,1.0,0.50625,0.0,0.3333333333333333,0.028302115124416098,False,False,True,False,True
154,0,1.0,0.37123897058823524,0.0,0.0,0.014273049437744325,False,False,True,False,True
155,0,0.3333333333333333,0.6375,0.0,0.16666666666666666,0.11980421963065935,True,False,False,False,True
156,1,1.0,0.2,0.0,0.0,0.015094396337354966,False,True,False,True,False
157,0,1.0,0.375,0.0,0.0,0.015712553569072387,False,False,True,False,True
158,0,1.0,0.37123897058823524,0.0,0.0,0.016908073949327893,False,False,True,False,True
159,0,1.0,0.37123897058823524,1.0,0.3333333333333333,0.13575255909676823,False,False,True,False,True
160,0,1.0,0.55,0.0,0.16666666666666666,0.031425107138144774,False,False,True,False,True
161,1,0.6666666666666666,0.5,0.0,0.0,0.030741952635141623,False,False,True,True,False
162,0,1.0,0.325,0.0,0.0,0.015175789316712771,False,False,True,False,True
163,0,1.0,0.2125,0.0,0.0,0.016908073949327893,False,False,True,False,True
164,0,1.0,0.0125,0.5,0.16666666666666666,0.07746484096553544,False,False,True,False,True
165,1,1.0,0.1125,0.0,0.3333333333333333,0.04006213192611313,False,False,True,False,True
166,1,0.3333333333333333,0.37123897058823524,0.0,0.16666666666666666,0.10735285047192313,False,False,True,True,False
167,0,1.0,0.5625,0.125,0.6666666666666666,0.05445717323939373,False,False,True,True,False
168,0,0.3333333333333333,0.37123897058823524,0.0,0.0,0.050602229972447406,False,False,True,False,True
169,0,1.0,0.35,0.0,0.0,0.11027245763075773,False,False,True,False,True
170,0,0.3333333333333333,0.7625,0.0,0.0,0.06538764528744409,False,False,True,False,True
171,0,1.0,0.05,0.5,0.16666666666666666,0.056848213999904744,False,True,False,False,True
172,1,1.0,0.0125,0.125,0.16666666666666666,0.021730754366528396,False,False,True,True,False
173,0,1.0,0.2625,0.0,0.0,0.015468569817999833,False,False,True,False,True
174,0,0.3333333333333333,0.7,0.0,0.0,0.05991421140938287,True,False,False,False,True
175,0,1.0,0.225,0.125,0.16666666666666666,0.015330377421392339,False,False,True,False,True
176,0,1.0,0.37123897058823524,0.375,0.16666666666666666,0.04970768794751499,False,False,True,False,True
177,0,0.3333333333333333,0.625,0.0,0.0,0.05604306762136532,True,False,False,True,False
178,0,0.6666666666666666,0.375,0.0,0.0,0.025374310111545468,False,False,True,False,True
179,0,1.0,0.45,0.0,0.0,0.0,False,False,True,False,True
180,0,1.0,0.37123897058823524,1.0,0.3333333333333333,0.13575255909676823,False,False,True,True,False
181,0,0.6666666666666666,0.37123897058823524,0.0,0.0,0.02937564362913533,True,False,False,False,True
182,0,1.0,0.1125,0.5,0.3333333333333333,0.061264319894317944,False,False,True,False,True
183,1,0.6666666666666666,0.0125,0.25,0.16666666666666666,0.0761229303346364,False,False,True,False,True
184,1,1.0,0.05,0.0,0.3333333333333333,0.04298993693898376,False,False,True,True,False
185,0,0.3333333333333333,0.37123897058823524,0.0,0.0,0.09759350042902103,False,False,True,False,True
186,1,1.0,0.37123897058823524,0.125,0.0,0.030253985132996517,False,True,False,True,False
187,1,0.3333333333333333,0.5625,0.0,0.0,0.051822148727810165,False,False,True,False,True
188,0,1.0,0.5,0.125,0.16666666666666666,0.030253985132996517,False,True,False,False,True
189,0,1.0,0.45,0.0,0.0,0.015411575213749284,False,False,True,False,True
190,1,0.6666666666666666,0.4,0.0,0.0,0.025374310111545468,False,False,True,True,False
191,0,0.6666666666666666,0.2375,0.0,0.0,0.025374310111545468,False,False,True,False,True
192,1,1.0,0.2375,0.125,0.0,0.015330377421392339,False,False,True,True,False
193,1,0.6666666666666666,0.0375,0.125,0.16666666666666666,0.050748620223090936,False,False,True,False,True
194,1,0.3333333333333333,0.55,0.0,0.0,0.05410739813385612,True,False,False,True,False
195,1,0.3333333333333333,0.725,0.0,0.0,0.2859895551532101,True,False,False,True,False
196,0,1.0,0.37123897058823524,0.0,0.0,0.015126992566498259,False,True,False,False,True
197,0,1.0,0.525,0.0,0.16666666666666666,0.01640390592611157,False,False,True,False,True
198,1,1.0,0.37123897058823524,0.0,0.0,0.015126992566498259,False,True,False,True,False
199,0,0.6666666666666666,0.3,0.0,0.0,0.025374310111545468,False,False,True,True,False
200,0,1.0,0.35,0.0,0.0,0.018542765081513996,False,False,True,False,True
201,0,1.0,0.37123897058823524,1.0,0.3333333333333333,0.13575255909676823,False,False,True,False,True
202,0,1.0,0.425,0.0,0.0,0.012678957201736696,False,False,True,False,True
203,0,1.0,0.56875,0.0,0.0,0.014102260811993537,True,False,False,False,True
204,1,1.0,0.225,0.0,0.0,0.015712553569072387,False,False,True,False,True
205,0,1.0,0.025,0.0,0.16666666666666666,0.02042143996477265,False,False,True,True,False
206,0,1.0,0.4,0.125,0.0,0.030937139635999665,False,False,True,False,True
207,1,1.0,0.325,0.0,0.0,0.036670757786204655,True,False,False,False,True
208,1,1.0,0.2,0.0,0.0,0.015126992566498259,False,True,False,True,False
209,1,0.3333333333333333,0.5,0.0,0.0,0.060507970265993034,True,False,False,False,True
210,0,1.0,0.3,0.0,0.0,0.013760683560491965,False,False,True,False,True
211,1,0.6666666666666666,0.4375,0.0,0.0,0.04098927018018883,False,False,True,True,False
212,0,1.0,0.275,0.0,0.0,0.014151057562208049,False,False,True,False,True
213,0,0.6666666666666666,0.375,0.0,0.0,0.025374310111545468,False,False,True,False,True
214,0,1.0,0.37123897058823524,0.125,0.0,0.015126992566498259,False,True,False,False,True
215,1,0.3333333333333333,0.3875,0.125,0.0,0.22109807522194713,True,False,False,True,False
216,1,1.0,0.3375,0.0,0.0,0.015468569817999833,False,False,True,True,False
217,0,0.6666666666666666,0.525,0.125,0.0,0.05270049023167135,False,False,True,False,True
218,1,0.3333333333333333,0.4,0.0,0.0,0.14891148113361488,True,False,False,True,False
219,0,0.6666666666666666,0.375,0.0,0.0,0.020494635090094415,False,False,True,False,True
220,1,1.0,0.2,0.0,0.0,0.015712553569072387,False,False,True,False,True
221,0,0.6666666666666666,0.3375,0.0,0.0,0.025374310111545468,False,False,True,False,True
222,0,1.0,0.6375,0.0,0.0,0.015712553569072387,False,False,True,False,True
223,0,1.0,0.37123897058823524,0.0,0.0,0.015411575213749284,False,False,True,False,True
224,1,0.3333333333333333,0.475,0.125,0.0,0.17566830077223786,False,False,True,False,True
225,0,1.0,0.275,0.0,0.0,0.01824998458022693,False,False,True,False,True
226,1,0.6666666666666666,0.2375,0.0,0.0,0.020494635090094415,False,False,True,False,True
227,0,1.0,0.25625,0.0,0.0,0.014151057562208049,False,False,True,False,True
228,0,0.6666666666666666,0.225,0.0,0.0,0.025374310111545468,False,False,True,False,True
229,0,1.0,0.37123897058823524,0.375,0.16666666666666666,0.04970768794751499,False,False,True,True,False
230,1,0.3333333333333333,0.4375,0.125,0.0,0.16293234896625058,False,False,True,True,False
231,0,1.0,0.3625,0.0,0.0,0.015175789316712771,False,False,True,False,True
232,0,0.6666666666666666,0.7375,0.0,0.0,0.026350245115835676,False,False,True,False,True
233,1,1.0,0.0625,0.5,0.3333333333333333,0.061264319894317944,False,False,True,True,False
234,0,0.6666666666666666,0.3,0.0,0.0,0.020494635090094415,False,False,True,False,True
235,0,1.0,0.37123897058823524,0.0,0.0,0.014736618564782174,False,False,True,True,False
236,0,0.6666666666666666,0.55,0.125,0.0,0.050748620223090936,False,False,True,False,True
237,1,0.6666666666666666,0.1,0.0,0.3333333333333333,0.05123658772523604,False,False,True,True,False
238,0,0.6666666666666666,0.2375,0.0,0.0,0.020494635090094415,False,False,True,False,True
239,0,0.6666666666666666,0.4125,0.0,0.0,0.023959204355324663,False,False,True,False,True
240,0,1.0,0.37123897058823524,0.125,0.0,0.028212719478023115,True,False,False,True,False
241,1,1.0,0.37123897058823524,0.125,0.0,0.030253985132996517,False,True,False,True,False
242,0,0.6666666666666666,0.3625,0.0,0.0,0.020494635090094415,False,False,True,False,True
243,0,1.0,0.275,0.0,0.0,0.013907073811135496,False,False,True,False,True
244,0,1.0,0.375,0.0,0.0,0.014102260811993537,True,False,False,False,True
245,0,0.3333333333333333,0.55,0.25,0.0,0.17566830077223786,False,True,False,False,True
246,0,1.0,0.3125,0.0,0.0,0.015175789316712771,False,False,True,True,False
247,1,0.6666666666666666,0.3,0.0,0.3333333333333333,0.028302115124416098,False,False,True,True,False
248,1,0.3333333333333333,0.4625,0.125,0.16666666666666666,0.10257896680493714,False,False,True,False,True
249,0,0.6666666666666666,0.675,0.125,0.0,0.050748620223090936,False,False,True,False,True
250,0,1.0,0.37123897058823524,0.0,0.0,0.014151057562208049,False,False,True,False,True
251,0,1.0,0.3625,0.125,0.16666666666666666,0.02042143996477265,False,False,True,True,False
252,0,0.3333333333333333,0.775,0.0,0.0,0.051822148727810165,False,False,True,False,True
253,0,1.0,0.375,0.125,0.0,0.031425107138144774,False,False,True,False,True
254,0,1.0,0.5125,0.0,0.3333333333333333,0.039452172548431745,False,False,True,True,False
255,1,1.0,0.3625,0.0,0.3333333333333333,0.029757819776815374,True,False,False,True,False
256,1,0.3333333333333333,0.37123897058823524,0.0,0.0,0.15458810467956932,True,False,False,True,False
257,1,0.3333333333333333,0.375,0.0,0.0,0.16883675574220638,False,False,True,True,False
258,1,0.3333333333333333,0.4375,0.0,0.0,1.0,True,False,False,True,False
259,1,0.6666666666666666,0.625,0.0,0.16666666666666666,0.050748620223090936,False,False,True,True,False
260,0,1.0,0.37123897058823524,0.0,0.0,0.015126992566498259,False,True,False,False,True
261,1,1.0,0.0375,0.5,0.3333333333333333,0.061264319894317944,False,False,True,False,True
262,0,0.3333333333333333,0.65,0.125,0.16666666666666666,0.1554664461834305,False,False,True,False,True
263,0,0.3333333333333333,0.5,0.0,0.0,0.0,False,False,True,False,True
264,0,1.0,0.37123897058823524,0.0,0.0,0.015126992566498259,False,True,False,True,False
265,0,0.6666666666666666,0.45,0.0,0.0,0.020494635090094415,False,False,True,False,True
266,0,1.0,0.2,0.5,0.16666666666666666,0.07746484096553544,False,False,True,False,True
267,1,1.0,0.3125,0.125,0.0,0.015175789316712771,False,False,True,False,True
268,1,0.3333333333333333,0.725,0.0,0.16666666666666666,0.2995388511917728,False,False,True,True,False
269,1,0.3333333333333333,0.4375,0.0,0.0,0.2647385704347907,False,False,True,True,False
270,0,0.3333333333333333,0.37123897058823524,0.0,0.0,0.060507970265993034,False,False,True,False,True
271,1,1.0,0.3125,0.0,0.0,0.0,False,False,True,False,True
272,1,0.6666666666666666,0.5125,0.0,0.16666666666666666,0.0380614651673182,False,False,True,True,False
273,0,0.3333333333333333,0.4625,0.0,0.16666666666666666,0.057970539254838485,True,False,False,False,True
274,1,1.0,0.37123897058823524,0.0,0.0,0.015126992566498259,False,True,False,True,False
275,1,0.3333333333333333,0.7875,0.125,0.0,0.15216446768991498,False,False,True,True,False
276,0,1.0,0.5625,0.0,0.0,0.015126992566498259,False,False,True,True,False
277,0,0.6666666666666666,0.37123897058823524,0.0,0.0,0.0,False,False,True,False,True
278,0,1.0,0.0875,0.5,0.16666666666666666,0.056848213999904744,False,True,False,False,True
279,1,1.0,0.4375,0.125,0.16666666666666666,0.03952536767375352,False,False,True,True,False
280,0,1.0,0.8125,0.0,0.0,0.015126992566498259,False,True,False,False,True
281,0,1.0,0.35,0.0,0.0,0.015330377421392339,False,False,True,False,True
282,0,1.0,0.2,0.0,0.0,0.018542765081513996,False,False,True,False,True
283,1,1.0,0.2375,0.0,0.0,0.015712553569072387,False,False,True,False,True
284,0,0.3333333333333333,0.37123897058823524,0.0,0.0,0.050748620223090936,False,False,True,False,True
285,0,1.0,0.4125,0.0,0.0,0.016908073949327893,True,False,False,False,True
286,1,1.0,0.375,0.0,0.0,0.018542765081513996,False,False,True,False,True
287,0,1.0,0.275,0.0,0.0,0.015411575213749284,False,False,True,False,True
288,1,0.6666666666666666,0.525,0.0,0.0,0.025374310111545468,False,False,True,False,True
289,1,1.0,0.275,0.0,0.0,0.015126992566498259,False,True,False,True,False
290,1,0.3333333333333333,0.325,0.0,0.0,0.15390495017656614,False,False,True,True,False
291,1,0.3333333333333333,0.2375,0.125,0.0,0.17777475888549785,True,False,False,True,False
292,0,0.6666666666666666,0.45,0.0,0.0,0.025130326360472913,True,False,False,False,True
293,0,1.0,0.3,0.0,0.0,0.01727404957593672,False,False,True,True,False
294,0,1.0,0.3,0.0,0.0,0.015411575213749284,False,False,True,False,True
295,0,0.3333333333333333,0.37123897058823524,0.0,0.0,0.05410739813385612,True,False,False,False,True
296,0,1.0,0.29375,0.0,0.0,0.014110458666029575,True,False,False,False,True
297,0,0.3333333333333333,0.025,0.125,0.3333333333333333,0.29580589980036276,False,False,True,True,False
